"url","Names link","Names link_link"
"http://hindunames.net/hindu-boy-names-8","Babul","http://hindunames.net/names/info/babul.html"
"http://hindunames.net/hindu-boy-names-8","Badri prasad","http://hindunames.net/names/info/badri-prasad.html"
"http://hindunames.net/hindu-boy-names-8","Badrinath","http://hindunames.net/names/info/badrinath.html"
"http://hindunames.net/hindu-boy-names-8","Balaaditya","http://hindunames.net/names/info/balaaditya.html"
"http://hindunames.net/hindu-boy-names-8","Balachandra","http://hindunames.net/names/info/balachandra.html"
"http://hindunames.net/hindu-boy-names-8","Balaji","http://hindunames.net/names/info/balaji.html"
"http://hindunames.net/hindu-boy-names-8","Balakrishna","http://hindunames.net/names/info/balakrishna.html"
"http://hindunames.net/hindu-boy-names-9","Balamani","http://hindunames.net/names/info/balamani.html"
"http://hindunames.net/hindu-boy-names-9","Balamohan","http://hindunames.net/names/info/balamohan.html"
"http://hindunames.net/hindu-boy-names-9","Balashankar","http://hindunames.net/names/info/balashankar.html"
"http://hindunames.net/hindu-boy-names-9","Balavan","http://hindunames.net/names/info/balavan.html"
"http://hindunames.net/hindu-boy-names-9","Baldev","http://hindunames.net/names/info/baldev.html"
"http://hindunames.net/hindu-boy-names-9","Balendu","http://hindunames.net/names/info/balendu.html"
"http://hindunames.net/hindu-boy-names-9","Bali","http://hindunames.net/names/info/bali.html"
"http://hindunames.net/hindu-boy-names-9","Balraj","http://hindunames.net/names/info/balraj.html"
"http://hindunames.net/hindu-boy-names-9","Balram","http://hindunames.net/names/info/balram.html"
"http://hindunames.net/hindu-boy-names-9","Balveer","http://hindunames.net/names/info/balveer.html"
"http://hindunames.net/hindu-boy-names-9","Balwan","http://hindunames.net/names/info/balwan.html"
"http://hindunames.net/hindu-boy-names-9","Baneet","http://hindunames.net/names/info/baneet.html"
"http://hindunames.net/hindu-boy-names-9","Bankim","http://hindunames.net/names/info/bankim.html"
"http://hindunames.net/hindu-boy-names-9","Bankimchandra","http://hindunames.net/names/info/bankimchandra.html"
"http://hindunames.net/hindu-boy-names-9","Bansi","http://hindunames.net/names/info/bansi.html"
"http://hindunames.net/hindu-boy-names-9","Bansilal","http://hindunames.net/names/info/bansilal.html"
"http://hindunames.net/hindu-boy-names-9","Barindra","http://hindunames.net/names/info/barindra.html"
